Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19600112.29.1,Summary,1960-01-12,14:20:00,3,Missouri,-,-,1,0,0,17,0.1,Nodaway,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.27,-94.9,40.28,-94.88,1,,1,Unmodified
19600114.48.1,Summary,1960-01-14,01:30:00,3,Texas,-,-,0,0,0,33,2,Scurry,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.77,-100.88,-,-,1,,2,Unmodified
19600114.40.1,Summary,1960-01-14,06:00:00,3,Oklahoma,-,-,2,0,0,10,0.1,Pontotoc,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.7,-96.8,-,-,1,,3,Unmodified
19600114.48.2,Summary,1960-01-14,06:35:00,3,Texas,-,-,1,0,3,17,0.2,Grayson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.72,-96.68,-,-,1,,4,Unmodified
19600114.48.3,Summary,1960-01-14,07:45:00,3,Texas,-,-,2,0,1,33,0.3,Hopkins,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.13,-95.82,-,-,1,,5,Unmodified
19600114.22.1,Summary,1960-01-14,11:20:00,3,Louisiana,-,-,0,0,0,20,4.5,Caddo,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.47,-93.75,32.52,-93.7,1,,6,Unmodified
19600114.5.1,Summary,1960-01-14,12:15:00,3,Arkansas,-,-,1,0,0,17,6.1,Faulkner,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.18,-92.45,35.23,-92.37,1,,7,Unmodified
19600128.48.4,Summary,1960-01-28,09:40:00,3,Texas,-,-,1,0,0,33,2,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,29.83,-93.83,-,-,1,,8,Unmodified
19600129.1.1,Summary,1960-01-29,06:00:00,3,Alabama,-,-,1,0,0,10,0.1,Mobile,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.63,-88.1,-,-,1,,9,Unmodified
19600203.22.2,Summary,1960-02-03,16:15:00,3,Louisiana,-,-,2,0,8,100,4.3,Lafourche,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.8,-90.8,29.83,-90.75,1,,10,Unmodified
19600204.28.1,Summary,1960-02-04,15:52:00,3,Mississippi,-,-,1,0,0,50,17.5,Rankin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.32,-89.8,32.57,-89.75,1,,11,Unmodified
